384.1967 	EXP 	letter_reminder: autoDraw = True
385.0862 	EXP 	New trial (rep=0, index=7): OrderedDict([('pair', '6M'), ('allowed', 'fj'), ('correct', 'j'), ('state', 'TopRight'), ('position', [0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
385.1103 	DATA 	Keypress: f
385.1300 	EXP 	NL_Pair: autoDraw = False
385.1300 	EXP 	number_reminder: autoDraw = False
385.1300 	EXP 	letter_reminder: autoDraw = False
385.1300 	EXP 	NL_Pair: pos = array([0.3 , 0.25])
385.1300 	EXP 	NL_Pair: text = '6M'
385.1300 	EXP 	number_reminder: text = 'F = Odd        J = Even'
385.1300 	EXP 	letter_reminder: text = ' '
385.1300 	EXP 	NL_Pair: autoDraw = True
385.1300 	EXP 	number_reminder: autoDraw = True
385.1300 	EXP 	letter_reminder: autoDraw = True
385.9855 	EXP 	New trial (rep=0, index=8): OrderedDict([('pair', '1R'), ('allowed', 'fj'), ('correct', 'f'), ('state', 'TopLeft'), ('position', [-0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
386.0000 	DATA 	Keypress: j
386.0133 	EXP 	NL_Pair: autoDraw = False
386.0133 	EXP 	number_reminder: autoDraw = False
386.0133 	EXP 	letter_reminder: autoDraw = False
386.0133 	EXP 	NL_Pair: pos = array([-0.3 ,  0.25])
386.0133 	EXP 	NL_Pair: text = '1R'
386.0133 	EXP 	number_reminder: text = 'F = Odd        J = Even'
386.0133 	EXP 	letter_reminder: text = ' '
386.0133 	EXP 	NL_Pair: autoDraw = True
386.0133 	EXP 	number_reminder: autoDraw = True
386.0133 	EXP 	letter_reminder: autoDraw = True
386.8355 	EXP 	New trial (rep=0, index=9): OrderedDict([('pair', '2R'), ('allowed', 'fj'), ('correct', 'j'), ('state', 'TopRight'), ('position', [0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
386.8504 	DATA 	Keypress: f
386.8631 	EXP 	NL_Pair: autoDraw = False
386.8631 	EXP 	number_reminder: autoDraw = False
386.8631 	EXP 	letter_reminder: autoDraw = False
386.8631 	EXP 	NL_Pair: pos = array([0.3 , 0.25])
386.8631 	EXP 	NL_Pair: text = '2R'
386.8631 	EXP 	number_reminder: text = 'F = Odd        J = Even'
386.8631 	EXP 	letter_reminder: text = ' '
386.8631 	EXP 	NL_Pair: autoDraw = True
386.8631 	EXP 	number_reminder: autoDraw = True
386.8631 	EXP 	letter_reminder: autoDraw = True
387.6855 	EXP 	New trial (rep=0, index=10): OrderedDict([('pair', '9E'), ('allowed', 'fj'), ('correct', 'f'), ('state', 'TopLeft'), ('position', [-0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
387.7001 	DATA 	Keypress: j
387.7133 	EXP 	NL_Pair: autoDraw = False
387.7133 	EXP 	number_reminder: autoDraw = False
387.7133 	EXP 	letter_reminder: autoDraw = False
387.7133 	EXP 	NL_Pair: pos = array([-0.3 ,  0.25])
387.7133 	EXP 	NL_Pair: text = '9E'
387.7133 	EXP 	number_reminder: text = 'F = Odd        J = Even'
387.7133 	EXP 	letter_reminder: text = ' '
387.7133 	EXP 	NL_Pair: autoDraw = True
387.7133 	EXP 	number_reminder: autoDraw = True
387.7133 	EXP 	letter_reminder: autoDraw = True
388.5540 	DATA 	Keypress: f
388.5689 	EXP 	New trial (rep=0, index=11): OrderedDict([('pair', '7K'), ('allowed', 'fj'), ('correct', 'f'), ('state', 'TopRight'), ('position', [0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
388.5965 	EXP 	NL_Pair: autoDraw = False
388.5965 	EXP 	number_reminder: autoDraw = False
388.5965 	EXP 	letter_reminder: autoDraw = False
388.5965 	EXP 	NL_Pair: pos = array([0.3 , 0.25])
388.5965 	EXP 	NL_Pair: text = '7K'
388.5965 	EXP 	number_reminder: text = 'F = Odd        J = Even'
388.5965 	EXP 	letter_reminder: text = ' '
388.5965 	EXP 	NL_Pair: autoDraw = True
388.5965 	EXP 	number_reminder: autoDraw = True
388.5965 	EXP 	letter_reminder: autoDraw = True
389.3701 	DATA 	Keypress: f
389.3855 	EXP 	New trial (rep=0, index=12): OrderedDict([('pair', '8M'), ('allowed', 'fj'), ('correct', 'j'), ('state', 'TopLeft'), ('position', [-0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
389.4130 	EXP 	NL_Pair: autoDraw = False
389.4130 	EXP 	number_reminder: autoDraw = False
389.4130 	EXP 	letter_reminder: autoDraw = False
389.4130 	EXP 	NL_Pair: pos = array([-0.3 ,  0.25])
389.4130 	EXP 	NL_Pair: text = '8M'
389.4130 	EXP 	number_reminder: text = 'F = Odd        J = Even'
389.4130 	EXP 	letter_reminder: text = ' '
389.4130 	EXP 	NL_Pair: autoDraw = True
389.4130 	EXP 	number_reminder: autoDraw = True
389.4130 	EXP 	letter_reminder: autoDraw = True
390.2884 	DATA 	Keypress: j
390.3020 	EXP 	New trial (rep=0, index=13): OrderedDict([('pair', '8K'), ('allowed', 'fj'), ('correct', 'j'), ('state', 'TopRight'), ('position', [0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
390.3299 	EXP 	NL_Pair: autoDraw = False
390.3299 	EXP 	number_reminder: autoDraw = False
390.3299 	EXP 	letter_reminder: autoDraw = False
390.3299 	EXP 	NL_Pair: pos = array([0.3 , 0.25])
390.3299 	EXP 	NL_Pair: text = '8K'
390.3299 	EXP 	number_reminder: text = 'F = Odd        J = Even'
390.3299 	EXP 	letter_reminder: text = ' '
390.3299 	EXP 	NL_Pair: autoDraw = True
390.3299 	EXP 	number_reminder: autoDraw = True
390.3299 	EXP 	letter_reminder: autoDraw = True
391.4869 	DATA 	Keypress: j
391.5020 	EXP 	New trial (rep=0, index=14): OrderedDict([('pair', '5G'), ('allowed', 'fj'), ('correct', 'f'), ('state', 'TopLeft'), ('position', [-0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
391.5299 	EXP 	NL_Pair: autoDraw = False
391.5299 	EXP 	number_reminder: autoDraw = False
